,simModel,simParam,sampleNum,sampleLength,classification,accuracy,typeI,typeII
0,benchmark,Lightning2,121,637,TS-CHIEF,0.8064516129032258,0.18181818181818182,0.2222222222222222
1,ARIMA,0.5,150,250,TS-CHIEF,1.0,0.0,0.0
2,benchmark,ToeSegmentation2,166,343,TS-CHIEF,0.9761904761904762,0.09090909090909091,0.0
3,statVSnon-stat,0.4,300,500,TS-CHIEF,1.0,0.0,0.0
4,GARCH,0.1,150,250,TS-CHIEF,0.5,0.6818181818181818,0.25
5,benchmark,PowerCons,360,144,TS-CHIEF,0.9888888888888889,0.023255813953488372,0.0
6,statVSnon-stat,0.3,100,250,TS-CHIEF,1.0,0.0,0.0
7,statVSnon-stat,0.07,150,250,TS-CHIEF,1.0,0.0,0.0
8,statVSnon-stat,0.2,100,250,TS-CHIEF,1.0,0.0,0.0
9,ARIMA,0.07,300,250,TS-CHIEF,0.64,0.08333333333333333,0.6153846153846154
10,benchmark,GunPointAgeSpan,451,150,TS-CHIEF,1.0,0.0,0.0
11,ARIMA,0.01,300,250,TS-CHIEF,0.5066666666666667,0.7045454545454546,0.1935483870967742
12,benchmark,ECG20.0,200,96,TS-CHIEF,0.9,0.08333333333333333,0.14285714285714285
13,benchmark,ToeSegmentation1,268,277,TS-CHIEF,1.0,0.0,0.0
14,statVSnon-stat,0.03,300,250,TS-CHIEF,1.0,0.0,0.0
15,benchmark,Coffee,56,286,TS-CHIEF,1.0,0.0,0.0
16,GARCH,0.03,150,250,TS-CHIEF,0.4473684210526316,0.8181818181818182,0.1875
17,ARIMA,0.01,150,250,TS-CHIEF,0.47368421052631576,0.47368421052631576,0.5789473684210527
18,GARCH,0.2,100,250,TS-CHIEF,0.84,0.07142857142857142,0.2727272727272727
19,ARIMA,0.09,150,250,TS-CHIEF,0.868421052631579,0.0,0.2631578947368421
20,ARIMA,0.07,150,250,TS-CHIEF,0.6578947368421053,0.1111111111111111,0.55
21,benchmark,Wine,111,234,TS-CHIEF,1.0,0.0,0.0
22,GARCH,0.07,150,250,TS-CHIEF,0.42105263157894735,0.5,0.6363636363636364
23,statVSnon-stat,0.09,300,250,TS-CHIEF,1.0,0.0,0.0
24,benchmark,BeetleFly,40,512,TS-CHIEF,1.0,0.0,0.0
25,ARIMA,0.2,100,250,TS-CHIEF,0.96,0.0,0.07692307692307693
26,GARCH,0.3,100,250,TS-CHIEF,0.96,0.0625,0.0
27,ARIMA,0.01,100,250,TS-CHIEF,0.56,0.25,0.6153846153846154
28,statVSnon-stat,0.01,100,250,TS-CHIEF,1.0,0.0,0.0
29,statVSnon-stat,0.09,150,250,TS-CHIEF,1.0,0.0,0.0
30,ARIMA,0.5,100,250,TS-CHIEF,1.0,0.0,0.0
31,ARIMA,0.05,150,250,TS-CHIEF,0.47368421052631576,0.0,0.8695652173913043
32,GARCH,0.5,100,250,TS-CHIEF,0.96,0.0,0.07692307692307693
33,ARIMA,0.09,100,250,TS-CHIEF,0.68,0.09090909090909091,0.5
34,statVSnon-stat,0.07,300,250,TS-CHIEF,1.0,0.0,0.0
35,benchmark,BirdChicken,40,512,TS-CHIEF,1.0,0.0,0.0
36,statVSnon-stat,0.03,150,250,TS-CHIEF,1.0,0.0,0.0
37,benchmark,Herring,128,512,TS-CHIEF,0.625,0.75,0.15
38,statVSnon-stat,0.4,100,250,TS-CHIEF,1.0,0.0,0.0
39,ARIMA,0.09,300,250,TS-CHIEF,0.8533333333333334,0.075,0.22857142857142856
40,statVSnon-stat,0.07,100,250,TS-CHIEF,1.0,0.0,0.0
41,statVSnon-stat,0.01,300,250,TS-CHIEF,1.0,0.0,0.0
42,benchmark,WormsTwoClass,258,900,TS-CHIEF,0.8615384615384616,0.023809523809523808,0.34782608695652173
43,benchmark,GunPointMaleVersusFemale,451,150,TS-CHIEF,1.0,0.0,0.0
44,GARCH,0.03,300,250,TS-CHIEF,0.6133333333333333,0.5121951219512195,0.23529411764705882
45,statVSnon-stat,0.09,100,250,TS-CHIEF,1.0,0.0,0.0
46,ARIMA,0.03,150,250,TS-CHIEF,0.6052631578947368,0.5,0.25
47,GARCH,0.01,300,250,TS-CHIEF,0.4533333333333333,0.7,0.37142857142857144
48,ARIMA,0.03,100,250,TS-CHIEF,0.36,0.875,0.2222222222222222
49,GARCH,0.1,100,250,TS-CHIEF,0.44,0.36363636363636365,0.7142857142857143
50,statVSnon-stat,0.05,150,250,TS-CHIEF,1.0,0.0,0.0
51,ARIMA,0.4,100,250,TS-CHIEF,1.0,0.0,0.0
52,ARIMA,0.03,300,250,TS-CHIEF,0.6533333333333333,0.37209302325581395,0.3125
53,ARIMA,0.3,100,250,TS-CHIEF,1.0,0.0,0.0
54,benchmark,Computers,500,720,TS-CHIEF,0.768,0.34375,0.11475409836065574
55,GARCH,0.05,150,250,TS-CHIEF,0.5263157894736842,0.23529411764705882,0.6666666666666666
56,GARCH,0.09,300,250,TS-CHIEF,0.5066666666666667,0.06666666666666667,0.7777777777777778
57,benchmark,Chinatown,365,24,TS-CHIEF,0.9560439560439561,0.05970149253731343,0.0
58,benchmark,Earthquakes,461,512,TS-CHIEF,0.7844827586206896,1.0,0.0
59,benchmark,GunPoint,200,150,TS-CHIEF,1.0,0.0,0.0
60,GARCH,0.07,300,250,TS-CHIEF,0.6,0.18181818181818182,0.5714285714285714
61,statVSnon-stat,0.03,100,250,TS-CHIEF,1.0,0.0,0.0
62,statVSnon-stat,0.01,150,250,TS-CHIEF,1.0,0.0,0.0
63,GARCH,0.01,150,250,TS-CHIEF,0.631578947368421,0.17647058823529413,0.5238095238095238
64,ARIMA,0.07,100,250,TS-CHIEF,0.6,0.09090909090909091,0.6428571428571429
65,ARIMA,0.05,300,250,TS-CHIEF,0.49333333333333335,0.06451612903225806,0.8181818181818182
66,statVSnon-stat,0.05,300,250,TS-CHIEF,1.0,0.0,0.0
67,benchmark,MoteStrain,145,284,TS-CHIEF,0.9811320754716981,0.011764705882352941,0.02702702702702703
68,GARCH,0.05,300,250,TS-CHIEF,0.6666666666666666,0.2222222222222222,0.4358974358974359
69,statVSnon-stat,0.1,100,250,TS-CHIEF,1.0,0.0,0.0
70,GARCH,0.09,150,250,TS-CHIEF,0.5263157894736842,0.16666666666666666,0.75
71,ARIMA,0.1,100,250,TS-CHIEF,0.48,0.0,0.8666666666666667
72,ARIMA,0.05,100,250,TS-CHIEF,0.48,0.5,0.5454545454545454
73,benchmark,SonyAIBORobotSurface1,80,170,TS-CHIEF,0.9871794871794872,0.0,0.023529411764705882
74,statVSnon-stat,0.5,100,250,TS-CHIEF,1.0,0.0,0.0
75,GARCH,0.4,100,250,TS-CHIEF,0.88,0.1111111111111111,0.125
76,statVSnon-stat,0.05,100,250,TS-CHIEF,1.0,0.0,0.0
