@relation untitled
@attribute attr0 integer
@attribute attr1 integer
@data
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,1
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,1
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,1
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,1
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,1
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,1
463,0
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,1
493,1
494,1
495,0
496,0
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,0
515,0
516,1
517,0
518,0
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,1
536,1
537,0
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,0
556,1
557,0
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,1
578,1
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,1
592,0
593,1
594,1
595,1
596,1
597,0
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,1
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,1
643,0
644,1
645,0
646,1
647,0
648,0
649,0
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,0
658,0
659,0
660,1
661,1
662,1
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,0
671,1
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,0
696,1
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,0
710,1
711,0
712,0
713,0
714,0
715,1
716,1
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,0
743,1
744,0
745,1
746,0
747,1
748,0
749,0
